URL,Page type,Lifecycle,Indexability,Sitemap,GSC impressions,GSC clicks,Position,Quality score,Evidence level,Internal links,Freshness,Lane,Semantic risk,Primary issue,Recommended action,Promotion readiness,Previous lifecycle,Previous quality score,Previous promotion readiness,Delta status
/industries/hospitality/,industries,,likely-indexable,live sitemapindex 3133 (guides child 409),2526,0,87.9633135391924,91,,2,GSC through 2026-08-13 STALE identical to R4,indexed_improvement,UNKNOWN_NO_DIRECT_GSC,TITLE_WEAK|THIN_CONTENT|POSSIBLE_INTENT_OVERLAP,OPTIMIZE_TITLE,not_ready,,91,not_ready,www_architecture_live_gsc_still_stale
/categories/crm/,categories,,likely-indexable,live sitemapindex 3133 (guides child 409),1903,0,83.4100472937467,49,,1165,GSC through 2026-08-13 STALE identical to R4,indexed_improvement,UNKNOWN_NO_DIRECT_GSC,TITLE_WEAK|POSSIBLE_INTENT_OVERLAP,OPTIMIZE_TITLE,not_ready,,,not_ready,www_architecture_live_gsc_still_stale
/industries/plumbing/,industries,,likely-indexable,live sitemapindex 3133 (guides child 409),1750,0,86.61,91,,2,GSC through 2026-08-13 STALE identical to R4,indexed_improvement,UNKNOWN_NO_DIRECT_GSC,TITLE_WEAK|THIN_CONTENT,OPTIMIZE_TITLE,not_ready,,91,not_ready,www_architecture_live_gsc_still_stale
/industries/solar/,industries,,likely-indexable,live sitemapindex 3133 (guides child 409),1428,0,87.86,91,,1,GSC through 2026-08-13 STALE identical to R4,indexed_improvement,UNKNOWN_NO_DIRECT_GSC,TITLE_WEAK|THIN_CONTENT|LOW_INBOUND_LINKS,OPTIMIZE_TITLE,not_ready,,91,not_ready,www_architecture_live_gsc_still_stale
/software/hubspot/,software,,likely-indexable,live sitemapindex 3133 (guides child 409),1340,0,66.38997014925373,95,,125,GSC through 2026-08-13 STALE identical to R4,indexed_improvement,UNKNOWN_NO_DIRECT_GSC,TITLE_WEAK|THIN_CONTENT|POSSIBLE_INTENT_OVERLAP,MANUAL_REVIEW,not_ready,,95,not_ready,www_architecture_live_gsc_still_stale
/industries/real-estate/,industries,,likely-indexable,live sitemapindex 3133 (guides child 409),1172,0,76.67853242320818,91,,2,GSC through 2026-08-13 STALE identical to R4,indexed_improvement,UNKNOWN_NO_DIRECT_GSC,TITLE_WEAK|THIN_CONTENT,OPTIMIZE_TITLE,not_ready,,91,not_ready,www_architecture_live_gsc_still_stale
/industries/event-management/,industries,,likely-indexable,live sitemapindex 3133 (guides child 409),1061,0,89.2877191328935,91,,1,GSC through 2026-08-13 STALE identical to R4,indexed_improvement,UNKNOWN_NO_DIRECT_GSC,TITLE_WEAK|THIN_CONTENT|LOW_INBOUND_LINKS|POSSIBLE_INTENT_OVERLAP,OPTIMIZE_TITLE,not_ready,,91,not_ready,www_architecture_live_gsc_still_stale
/industries/private-equity/,industries,,likely-indexable,live sitemapindex 3133 (guides child 409),1021,0,82.7,91,,1,GSC through 2026-08-13 STALE identical to R4,indexed_improvement,UNKNOWN_NO_DIRECT_GSC,TITLE_WEAK|THIN_CONTENT|LOW_INBOUND_LINKS,OPTIMIZE_TITLE,not_ready,,91,not_ready,www_architecture_live_gsc_still_stale
/software/activecampaign/,software,,likely-indexable,live sitemapindex 3133 (guides child 409),1019,0,77.03,95,,48,GSC through 2026-08-13 STALE identical to R4,indexed_improvement,UNKNOWN_NO_DIRECT_GSC,THIN_CONTENT,IMPROVE_INTRO,not_ready,,95,not_ready,www_architecture_live_gsc_still_stale
/software/insightly/,software,,likely-indexable,live sitemapindex 3133 (guides child 409),938,0,71.64,95,,44,GSC through 2026-08-13 STALE identical to R4,indexed_improvement,UNKNOWN_NO_DIRECT_GSC,TITLE_WEAK|THIN_CONTENT|POSSIBLE_INTENT_OVERLAP,MANUAL_REVIEW,not_ready,,95,not_ready,www_architecture_live_gsc_still_stale
